Iteration	Posterior	Likelihood	Prior	alpha[1]	alpha[2]	alpha[3]	cont_mole_scaler	mole_proportional_rates[1]	mole_proportional_rates[2]	mole_proportional_rates[3]	mole_relative_rates[1]	mole_relative_rates[2]	mole_relative_rates[3]	morph_mole_scaler	morph_site_rate_alpha	morph_site_rates[1]	morph_site_rates[2]	morph_site_rates[3]	morph_site_rates[4]	prop_rates[1]	prop_rates[2]	prop_rates[3]	prop_rates[4]	prop_rates[5]	prop_rates[6]	prop_rates[7]	prop_rates[8]	rel_rates[1]	rel_rates[2]	rel_rates[3]	rel_rates[4]	rel_rates[5]	rel_rates[6]	rel_rates[7]	rel_rates[8]	Tl
38	-24697.76	-24641.85	-55.90123	2.69877	5.87913	0.815744	21.29979	0.921721	0.051632	0.0266466	2.76516	0.154896	0.0799398	3.726727	0.6182296	0.0568884	0.322255	0.890342	2.73052	0.0506951	0.023048	0.455254	0.016629	0.138429	0.0913966	0.213851	0.0106971	0.405561	0.184384	3.64203	0.133032	1.10743	0.731173	1.71081	0.085577	8.077626
39	-24682.64	-24628.61	-54.03332	2.69877	5.85024	0.815744	21.29979	0.921721	0.051632	0.0266466	2.76516	0.154896	0.0799398	3.878729	0.7818269	0.0916862	0.399713	0.951789	2.55681	0.0506951	0.023048	0.455254	0.016629	0.138429	0.0913966	0.213851	0.0106971	0.405561	0.184384	3.64203	0.133032	1.10743	0.731173	1.71081	0.085577	7.878523
40	-24656.87	-24602.11	-54.75798	2.69877	5.85024	0.784116	23.30075	0.921721	0.051632	0.0266466	2.76516	0.154896	0.0799398	3.91237	0.6934658	0.0727931	0.360431	0.922423	2.64435	0.0506951	0.023048	0.455254	0.016629	0.138429	0.0913966	0.213851	0.0106971	0.405561	0.184384	3.64203	0.133032	1.10743	0.731173	1.71081	0.085577	7.750693
41	-24494.88	-24443.93	-50.95814	2.69877	5.85024	0.784116	22.02637	0.914053	0.0512024	0.0347449	2.74216	0.153607	0.104235	3.297955	0.6934658	0.0727931	0.360431	0.922423	2.64435	0.0506951	0.023048	0.455254	0.016629	0.138429	0.0913966	0.213851	0.0106971	0.405561	0.184384	3.64203	0.133032	1.10743	0.731173	1.71081	0.085577	7.559588
42	-24351.12	-24306.15	-44.96952	2.70667	5.88004	0.784743	22.92213	0.914212	0.0512114	0.0345767	2.74264	0.153634	0.10373	3.123538	0.6934658	0.0727931	0.360431	0.922423	2.64435	0.0506951	0.023048	0.455254	0.016629	0.138429	0.0913966	0.213851	0.0106971	0.405561	0.184384	3.64203	0.133032	1.10743	0.731173	1.71081	0.085577	6.884759
43	-24245.54	-24203.41	-42.13287	2.34922	5.88004	0.784743	22.92213	0.914978	0.0512543	0.0337675	2.74493	0.153763	0.101302	3.350833	0.6934658	0.0727931	0.360431	0.922423	2.64435	0.0506951	0.023048	0.455254	0.016629	0.138429	0.0913966	0.213851	0.0106971	0.405561	0.184384	3.64203	0.133032	1.10743	0.731173	1.71081	0.085577	6.61411
44	-24019	-23976.74	-42.25844	1.64446	4.54795	0.578712	22.92213	0.914978	0.0512543	0.0337675	2.74493	0.153763	0.101302	3.350833	0.6934658	0.0727931	0.360431	0.922423	2.64435	0.0506951	0.023048	0.455254	0.016629	0.138429	0.0913966	0.213851	0.0106971	0.405561	0.184384	3.64203	0.133032	1.10743	0.731173	1.71081	0.085577	6.850954
45	-24022.01	-23976.83	-45.17832	1.64446	3.39868	0.579837	24.74663	0.914978	0.0512543	0.0337675	2.74493	0.153763	0.101302	4.338722	1.161247	0.16796	0.520378	1.02231	2.28935	0.0506951	0.023048	0.455254	0.016629	0.138429	0.0913966	0.213851	0.0106971	0.405561	0.184384	3.64203	0.133032	1.10743	0.731173	1.71081	0.085577	6.976518
46	-23975.76	-23933.17	-42.58301	1.58059	3.39868	0.582018	24.74663	0.908767	0.057695	0.0335382	2.7263	0.173085	0.100615	3.917555	1.161247	0.16796	0.520378	1.02231	2.28935	0.0506951	0.023048	0.455254	0.016629	0.138429	0.0913966	0.213851	0.0106971	0.405561	0.184384	3.64203	0.133032	1.10743	0.731173	1.71081	0.085577	6.765272
47	-23963.3	-23924.16	-39.13388	1.55898	3.384	0.582018	24.74663	0.908767	0.057695	0.0335382	2.7263	0.173085	0.100615	3.917555	1.161247	0.16796	0.520378	1.02231	2.28935	0.0506951	0.023048	0.455254	0.016629	0.138429	0.0913966	0.213851	0.0106971	0.405561	0.184384	3.64203	0.133032	1.10743	0.731173	1.71081	0.085577	6.423989
